date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,dailypositvecases,dailynegativecases,dailytestingdone,dailydeath
20200426,NJ,109038,114106,,6573,,1804,,1418,,,6059daac4fb54aa392e192062ad3eb0cd6fa8d4f,2020-04-26T20:00:00Z,5938,,223144,223144,223144,34,75,0,5943,3515,9458,3515,5943,9458,75
20200425,NJ,105523,108163,,6722,,1971,,1442,,,a516df8cf326348b3a6975e89ceaf80c38ad0c67,2020-04-25T20:00:00Z,5863,,213686,213686,213686,34,246,0,4397,3327,7724,3327,4397,7724,246
20200424,NJ,102196,103766,,6847,,1933,,1487,,,faf3e71e884663da3255fb21eface8a0fbb0675e,2020-04-24T20:00:00Z,5617,,205962,205962,205962,34,249,0,3607,2207,5814,2207,3607,5814,249
20200423,NJ,99989,100159,,7240,,1990,,1462,,,bacfc6e489570442eea13e5a50c80950924f48b6,2020-04-23T20:00:00Z,5368,,200148,200148,200148,34,305,0,4365,4124,8489,4124,4365,8489,305
20200422,NJ,95865,95794,,7210,,1983,,1570,,,b551e40bb5a294b994122858cdd140c1f2b81fb1,2020-04-22T20:00:00Z,5063,,191659,191659,191659,34,310,0,3355,3478,6833,3478,3355,6833,310
20200421,NJ,92387,92439,,7594,,1930,,1501,,,e7abeea8698f39b4c754e9cb9a40c4e7f4daa693,2020-04-21T20:00:00Z,4753,,184826,184826,184826,34,376,0,3188,3581,6769,3581,3188,6769,376
20200420,NJ,88806,89251,,6986,,2018,,1594,,,475f85db6197c72804957a10154695964ecb1734,2020-04-20T20:00:00Z,4377,,178057,178057,178057,34,175,0,3864,3505,7369,3505,3864,7369,175
20200419,NJ,85301,85387,,7494,,1940,,1628,,,bfacf58505686a7f6016e248759561bb29c71824,2020-04-19T20:00:00Z,4202,,170688,170688,170688,34,132,0,4271,3881,8152,3881,4271,8152,132
20200418,NJ,81420,81116,,7718,,2024,,1641,,,2c98aa87acbdcab2efa4ff30b0cc10d21f35c62c,2020-04-18T20:00:00Z,4070,,162536,162536,162536,34,230,0,2134,2953,5087,2953,2134,5087,230
20200417,NJ,78467,78982,,8011,,1961,,1594,,,7722a23203ac41ff398af795fcc2094c7bd24cde,2020-04-17T20:00:00Z,3840,,157449,157449,157449,34,322,0,2469,3150,5619,3150,2469,5619,322
