date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,dailypositvecases,dailynegativecases,dailytestingdone,dailydeath
20200507,NJ,133635,159023,552,4996,,1470,,1107,,15642,A+,5/7/20 13:00,04f0e88155e2fe93102e54ac53b91efca0056bee,2020-05-07T20:00:00Z,8801,,293210,292658,292658,34,252,0,1993,1745,3738,68760,90580,159340,4341
20200506,NJ,131890,157030,594,5221,,1549,,1146,,15642,A+,5/6/20 13:00,297c2a475992a14152995c68c5f0c14382383e75,2020-05-06T20:00:00Z,8549,,289514,288920,288920,34,305,0,0,1297,1297,64875,68443,133318,4460
20200505,NJ,130593,157030,550,5328,,1534,,1169,,15642,A+,5/5/20 13:00,0f17a7613eb59c4f6f7ab558a6dab1852c01412f,2020-05-05T20:00:00Z,8244,,288173,287623,287623,34,334,0,8079,2324,10403,67015,88587,155602,4089
20200504,NJ,128269,148951,647,5287,,1610,,1189,,15642,A+,5/4/20 13:00,e1538483bb2cc07c5d4c6ceae02261ddc5d5222e,2020-05-04T20:00:00Z,7910,,277867,277220,277220,34,39,0,629,1525,2154,63578,68443,132021,4155
20200503,NJ,126744,148322,641,5317,,1623,,1198,,15642,A+,5/3/20 13:00,28957956d2de20c823e944c266c7c8a8afaf65f7,2020-05-03T20:00:00Z,7871,,275707,275066,275066,34,129,0,9727,3027,12754,64691,80508,145199,3755
20200502,NJ,123717,138595,676,5713,,1715,,1230,,15642,A+,5/2/20 13:00,d7497707a069d81c12c0ad7b360e123378c3c346,2020-05-02T20:00:00Z,7742,,262988,262312,262312,34,204,0,3240,2527,5767,62053,67814,129867,4116
20200501,NJ,121190,135355,583,5972,,1724,,1286,,15642,A+,5/1/20 13:00,04bf818537309091716016bcfd6e06b887e10ce0,2020-05-01T20:00:00Z,7538,,257128,256545,256545,34,310,0,6089,2538,8627,61664,70781,132445,3626
20200430,NJ,118652,129266,478,6137,,1765,,1271,,15642,A+,4/30/20 13:00,f56cb82f813419dc609b6c2c9855c495f02f3ab2,2020-04-30T20:00:00Z,7228,,248396,247918,247918,34,458,0,4212,2388,6600,59526,64574,124100,3912
20200429,NJ,116264,125054,617,6289,,1811,,1327,,15642,A+,4/29/20 13:00,6b18cda950077888bff3efbcf3ad0490a6523d1d,2020-04-29T20:00:00Z,6770,,241935,241318,241318,34,328,0,4551,2408,6959,59126,64692,123818,3316
20200428,NJ,113856,120503,,6476,,1809,,1262,,15642,A+,4/28/20 13:00,f25f4ed36ca442a4c43a5360e7fe5985bae17fba,2020-04-28T20:00:00Z,6442,,234359,234359,234359,34,398,0,3916,2668,6584,57138,60362,117500,3454
20200427,NJ,111188,116587,,6407,,1801,,1303,,,A,4/26/20 11:00,704e9323b878b2df6db0823fc632101b88cae418,2020-04-27T20:00:00Z,6044,,227775,227775,227775,34,106,0,2481,2150,4631,56718,60141,116859,2988
20200426,NJ,109038,114106,,6573,,1804,,1418,,,A,4/26/20 11:00,1c63b0609288fa1eb9a7cd646ab50f7489efc757,2020-04-26T20:00:00Z,5938,,223144,223144,223144,34,75,0,5943,3515,9458,54470,56446,110916,3056
